Interface icons
  opportunist            lorc/eyeball.svg
  assassin               darkzaitzev/hooded-assassin.svg
  draw                   delapouite/pull.svg
  eagleeye               lorc/eagle-emblem.svg
  longbow                delapouite/reload-gun-barrel.svg
  venomtip               lorc/poison-gas.svg
  fleet                  lorc/run.svg
  marksman               lorc/archery-target.svg
  focus                  lorc/concentration-orb.svg
  wellspring             sbed/water-drop.svg
  conduit                lorc/lightning-branches.svg
  efficiency             lorc/book-cover.svg
  archmage               lorc/wizard-staff.svg
  quickcast              delapouite/fast-forward-button.svg
  attunement             lorc/crystal-shine.svg
  warding                lorc/magic-shield.svg
  rapid                  lorc/lightning-frequency.svg
  spellblade             delapouite/star-formation.svg
  slot-weapon            lorc/broadsword.svg
  slot-helm              delapouite/black-knight-helm.svg
  slot-armor             lorc/breastplate.svg
  slot-cape              delapouite/cape.svg
  slot-boots             lorc/boots.svg
  slot-ring              delapouite/diamond-ring.svg
  wood                   delapouite/wood-pile.svg
  ore                    faithtoken/ore.svg
  herb                   delapouite/herbs-bundle.svg
  potion                 delapouite/health-potion.svg
  tonic                  delapouite/magic-potion.svg
  dock-character         delapouite/character.svg
  dock-inventory         delapouite/backpack.svg
  dock-skills            delapouite/skills.svg
  dock-craft             lorc/anvil.svg
  dock-leaderboard       lorc/laurel-crown.svg
  monster-slime          delapouite/slime.svg
  monster-mushnub        delapouite/grass-mushroom.svg
  monster-spikyblob      lorc/acid-blob.svg
  monster-goblin         delapouite/goblin-head.svg
  monster-armabee        lorc/wasp-sting.svg
  monster-wolf           lorc/wolf-head.svg
  monster-cactoro        delapouite/cactus.svg
  monster-orcbrute       delapouite/orc-head.svg
  monster-ghost          lorc/ghost.svg
  monster-troll          skoll/troll.svg
  monster-demon          delapouite/devil-mask.svg
  monster-golem          delapouite/golem-head.svg
  monster-dragon         lorc/dragon-head.svg
  rank-1                 delapouite/podium-winner.svg
  rank-2                 delapouite/podium-second.svg
  rank-3                 delapouite/podium-third.svg
  settings               lorc/cog.svg
  sun                    lorc/sunbeams.svg
  moon                   lorc/moon.svg
  hp                     lorc/heart-organ.svg
  mana                   lorc/magic-swirl.svg
  xp                     delapouite/star-medal.svg
  gear                   lorc/gear-hammer.svg
  sort                   delapouite/stack.svg
  sell                   delapouite/coins.svg
  strength               delapouite/muscular-torso.svg
  agility                delapouite/jump-across.svg
  vitality               lorc/heart-tower.svg
  intelligence           lorc/brain.svg
  slot-offhand           delapouite/attached-shield.svg
  offhand-shield         willdabeast/round-shield.svg
  offhand-focus          lorc/crystal-shine.svg
  offhand-quiver         delapouite/quiver.svg
  helm-cap               lorc/barbute.svg
  helm-hood              delapouite/warlock-hood.svg
  helm-full              lorc/visored-helm.svg
  helm-horned            lorc/horned-helm.svg
  helm-circlet           delapouite/tiara.svg
  armor-robe             lorc/robe.svg
  armor-leather          lorc/leather-vest.svg
  armor-scale            lorc/scale-mail.svg
  armor-chain            lorc/mail-shirt.svg
  armor-brigandine       delapouite/leather-armor.svg
  armor-plate            lorc/breastplate.svg
  boots-low              lorc/leather-boot.svg
  boots-tall             delapouite/fur-boot.svg
  boots-wrapped          darkzaitzev/tabi-boot.svg
  boots-plated           delapouite/greaves.svg
  cape-cape              delapouite/cape.svg
  cape-cloak             lucasms/cloak.svg
  cape-tabard            delapouite/cape-armor.svg
  cape-mantle            lorc/wing-cloak.svg
  ring-band              delapouite/ring.svg
  ring-bone              lorc/skull-ring.svg
  ring-signet            lorc/skull-signet.svg
  ring-gem               lorc/engagement-ring.svg
  ring-rune              lorc/swirl-ring.svg
  essence                delapouite/soul-vessel.svg
  ingot                  lorc/metal-bar.svg
  weave                  delapouite/rolled-cloth.svg
  forge                  lorc/anvil-impact.svg
  refine                 delapouite/melting-metal.svg
  etch                   lorc/rune-stone.svg
  reforge                lorc/fire-shield.svg
  salvage                delapouite/hammer-break.svg
